Key,EN,DE,Category
cash_conversion,Cash Conversion Rate,Cashflow-Konversionsrate,cashflow
capex,Capital Expenditures,Investitionsausgaben (CAPEX),cashflow
,,,
# --- Working Capital Management (Project 4) ---,,,
wc_title,Working Capital Management,Working Capital Management,wc
wc_overview,Working Capital Overview,Working Capital Übersicht,wc
wc_components,WC Components,WC-Komponenten,wc
wc_trend,WC Trend Analysis,WC-Trendanalyse,wc
working_capital,Working Capital,Betriebskapital (Working Capital),wc
current_assets,Current Assets,Umlaufvermögen,wc
current_liabilities,Current Liabilities,Kurzfristige Verbindlichkeiten,wc
accounts_receivable,Accounts Receivable,Forderungen aus L&L,wc
accounts_payable,Accounts Payable,Verbindlichkeiten aus L&L,wc
inventory,Inventory,Vorräte,wc
dso,Days Sales Outstanding (DSO),Debitorenlaufzeit (DSO),wc
dpo,Days Payable Outstanding (DPO),Kreditorenlaufzeit (DPO),wc
dio,Days Inventory Outstanding (DIO),Lagerreichweite (DIO),wc
ccc,Cash Conversion Cycle,Cash Conversion Cycle (CCC),wc
ccc_days,CCC (Days),CCC (Tage),wc
wc_ratio,Working Capital Ratio,Working Capital Quote,wc
current_ratio,Current Ratio,Liquidität 3. Grades,wc
quick_ratio,Quick Ratio,Liquidität 2. Grades,wc
overdue,Overdue,Überfällig,wc
aging_analysis,Aging Analysis,Fälligkeitsanalyse,wc
days,Days,Tage,wc
,,,
# --- Cost Center Reporting (Project 5) ---,,,
cc_title,Cost Center Reporting,Kostenstellenrechnung,costcenter
cc_overview,Cost Center Overview,Kostenstellen Übersicht,costcenter
cc_allocation,Overhead Allocation,Gemeinkostenumlage,costcenter
cc_detail,Cost Center Detail,Kostenstellen Detail,costcenter
cost_center,Cost Center,Kostenstelle,costcenter
department,Department,Abteilung,costcenter
direct_costs,Direct Costs,Einzelkosten,costcenter
indirect_costs,Indirect Costs,Gemeinkosten,costcenter
overhead,Overhead,Gemeinkosten,costcenter
overhead_rate,Overhead Rate,Gemeinkostenzuschlag,costcenter
allocation_key,Allocation Key,Verteilungsschlüssel,costcenter
fixed_costs,Fixed Costs,Fixkosten,costcenter
variable_costs,Variable Costs,Variable Kosten,costcenter
cost_type,Cost Type,Kostenart,costcenter
personnel_costs,Personnel Costs,Personalkosten,costcenter
material_costs,Material Costs,Materialkosten,costcenter
contribution_margin,Contribution Margin,Deckungsbeitrag,costcenter
cm1,Contribution Margin I,Deckungsbeitrag I,costcenter
cm2,Contribution Margin II,Deckungsbeitrag II,costcenter
cost_driver,Cost Driver,Kostentreiber,costcenter
absorption_rate,Absorption Rate,Zuschlagssatz,costcenter
,,,
# --- Sales & Revenue Analytics (Project 6) ---,,,
sales_title,Sales & Revenue Analytics,Umsatz- und Vertriebsanalyse,sales
sales_overview,Sales Overview,Vertriebsübersicht,sales
sales_product_mix,Product Mix Analysis,Produktmix-Analyse,sales
sales_customer,Customer Analytics,Kundenanalyse,sales
sales_volume,Sales Volume,Absatzmenge,sales
avg_selling_price,Average Selling Price,Durchschnittlicher Verkaufspreis,sales
revenue_growth,Revenue Growth,Umsatzwachstum,sales
units_sold,Units Sold,Verkaufte Einheiten,sales
price_effect,Price Effect,Preiseffekt,sales
volume_effect,Volume Effect,Mengeneffekt,sales
mix_effect,Mix Effect,Mixeffekt,sales
top_customers,Top Customers,Top-Kunden,sales
customer_concentration,Customer Concentration,Kundenkonzentration,sales
new_customers,New Customers,Neukunden,sales
lost_customers,Lost Customers,Verlorene Kunden,sales
avg_order_value,Average Order Value,Durchschnittlicher Auftragswert,sales
hit_rate,Hit Rate,Abschlussquote,sales
product_mix,Product Mix,Produktmix,sales
regional_breakdown,Regional Breakdown,Regionale Aufschlüsselung,sales
yoy_growth,YoY Growth,Wachstum ggü. Vorjahr,sales
,,,
# --- Scenario Planning / What-If (Project 7) ---,,,
scenario_title,Scenario Planning,Szenarioplanung,scenario
scenario_overview,Scenario Overview,Szenario Übersicht,scenario
scenario_comparison,Scenario Comparison,Szenariovergleich,scenario
scenario_sensitivity,Sensitivity Analysis,Sensitivitätsanalyse,scenario
base_case,Base Case,Basisszenario,scenario
best_case,Best Case,Optimistisches Szenario,scenario
worst_case,Worst Case,Pessimistisches Szenario,scenario
scenario,Scenario,Szenario,scenario
assumption,Assumption,Annahme,scenario
impact,Impact,Auswirkung,scenario
sensitivity,Sensitivity,Sensitivität,scenario
parameter,Parameter,Parameter,scenario
price_change,Price Change,Preisänderung,scenario
volume_change,Volume Change,Mengenänderung,scenario
cost_change,Cost Change,Kostenänderung,scenario
fx_rate,Exchange Rate,Wechselkurs,scenario
what_if,What-If Analysis,Was-wäre-wenn-Analyse,scenario
breakeven,Break-Even Point,Gewinnschwelle (Break-Even),scenario
monte_carlo,Monte Carlo Simulation,Monte-Carlo-Simulation,scenario
,,,
# --- KPI Scorecard (Project 8) ---,,,
kpi_title,KPI Scorecard,KPI Scorecard,kpi
kpi_executive,Executive Summary,Management Summary,kpi
kpi_financial,Financial KPIs,Finanzielle Kennzahlen,kpi
kpi_operational,Operational KPIs,Operative Kennzahlen,kpi
target,Target,Ziel,kpi
actual_value,Actual,Ist-Wert,kpi
achievement,Achievement,Zielerreichung,kpi
status,Status,Status,kpi
on_track,On Track,Im Plan,kpi
at_risk,At Risk,Gefährdet,kpi
off_track,Off Track,Nicht im Plan,kpi
rag_status,RAG Status,Ampelstatus,kpi
red,Red,Rot,kpi
amber,Amber,Gelb,kpi
green,Green,Grün,kpi
sparkline,Sparkline,Sparkline,kpi
vs_target,vs Target,ggü. Ziel,kpi
vs_prior_year,vs Prior Year,ggü. Vorjahr,kpi
improvement,Improvement,Verbesserung,kpi
deterioration,Deterioration,Verschlechterung,kpi
,,,
# --- CAPEX Tracking (Project 9) ---,,,
capex_title,CAPEX Project Tracking,CAPEX-Projektcontrolling,capex
capex_overview,CAPEX Overview,CAPEX Übersicht,capex
capex_project_detail,Project Detail,Projektdetail,capex
capex_earned_value,Earned Value Analysis,Earned Value Analyse,capex
project,Project,Projekt,capex
project_name,Project Name,Projektname,capex
project_status,Project Status,Projektstatus,capex
approved_budget,Approved Budget,Genehmigtes Budget,capex
spent_to_date,Spent to Date,Bisherige Ausgaben,capex
remaining_budget,Remaining Budget,Restbudget,capex
completion_pct,Completion %,Fertigstellungsgrad %,capex
planned_completion,Planned Completion,Geplante Fertigstellung,capex
actual_completion,Actual Completion,Tatsächliche Fertigstellung,capex
roi,Return on Investment (ROI),Kapitalrentabilität (ROI),capex
payback_period,Payback Period,Amortisationszeit,capex
npv,Net Present Value (NPV),Kapitalwert (NPV),capex
irr,Internal Rate of Return (IRR),Interner Zinsfuß (IRR),capex
pv,Planned Value (PV),Plankosten (PV),capex
ev,Earned Value (EV),Fertigstellungswert (EV),capex
ac,Actual Cost (AC),Ist-Kosten (AC),capex
cpi,Cost Performance Index (CPI),Kostenleistungsindex (CPI),capex
spi,Schedule Performance Index (SPI),Terminleistungsindex (SPI),capex
eac,Estimate at Completion (EAC),Schätzkosten bei Fertigstellung (EAC),capex
cost_overrun,Cost Overrun,Kostenüberschreitung,capex
on_schedule,On Schedule,Im Zeitplan,capex
delayed,Delayed,Verzögert,capex
